page_id,condition,selected_source,seed,entities,correct,accuracy,macro_f1,missing_or_invalid,f1_header,f1_question,f1_answer,f1_other,parse_error
82092117,hybrid,text_only,17,27,21,0.7777777777777778,0.705316742081448,0,0.5,1.0,0.7058823529411765,0.6153846153846154,
82200067_0069,hybrid,layout_aware,17,59,50,0.847457627118644,0.5803970223325062,0,0.0,0.8205128205128205,0.967741935483871,0.5333333333333333,
82250337_0338,hybrid,text_only,17,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,hybrid,layout_aware,17,41,30,0.7317073170731707,0.6863553113553114,0,0.5,0.7428571428571429,0.7333333333333334,0.7692307692307692,
82092117,hybrid,text_only,29,27,22,0.8148148148148148,0.7361111111111112,0,0.5,1.0,0.7777777777777778,0.6666666666666666,
82200067_0069,hybrid,layout_aware,29,59,50,0.847457627118644,0.5803970223325062,0,0.0,0.8205128205128205,0.967741935483871,0.5333333333333333,
82250337_0338,hybrid,text_only,29,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,hybrid,layout_aware,29,41,30,0.7317073170731707,0.6964669738863287,0,0.5,0.7428571428571429,0.7096774193548387,0.8333333333333333,
82092117,hybrid,text_only,43,27,21,0.7777777777777778,0.705316742081448,0,0.5,1.0,0.7058823529411765,0.6153846153846154,
82200067_0069,hybrid,layout_aware,43,59,50,0.847457627118644,0.5803970223325062,0,0.0,0.8205128205128205,0.967741935483871,0.5333333333333333,
82250337_0338,hybrid,text_only,43,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,hybrid,layout_aware,43,41,30,0.7317073170731707,0.6863553113553114,0,0.5,0.7428571428571429,0.7333333333333334,0.7692307692307692,
82092117,layout_aware,layout_aware,17,27,24,0.8888888888888888,0.8026018099547512,0,0.5,1.0,0.9411764705882353,0.7692307692307693,
82200067_0069,layout_aware,layout_aware,17,59,50,0.847457627118644,0.5803970223325062,0,0.0,0.8205128205128205,0.967741935483871,0.5333333333333333,
82250337_0338,layout_aware,layout_aware,17,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,layout_aware,layout_aware,17,41,30,0.7317073170731707,0.6863553113553114,0,0.5,0.7428571428571429,0.7333333333333334,0.7692307692307692,
82092117,layout_aware,layout_aware,29,27,24,0.8888888888888888,0.8026018099547512,0,0.5,1.0,0.9411764705882353,0.7692307692307693,
82200067_0069,layout_aware,layout_aware,29,59,50,0.847457627118644,0.5803970223325062,0,0.0,0.8205128205128205,0.967741935483871,0.5333333333333333,
82250337_0338,layout_aware,layout_aware,29,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,layout_aware,layout_aware,29,41,30,0.7317073170731707,0.6964669738863287,0,0.5,0.7428571428571429,0.7096774193548387,0.8333333333333333,
82092117,layout_aware,layout_aware,43,27,24,0.8888888888888888,0.8026018099547512,0,0.5,1.0,0.9411764705882353,0.7692307692307693,
82200067_0069,layout_aware,layout_aware,43,59,50,0.847457627118644,0.5803970223325062,0,0.0,0.8205128205128205,0.967741935483871,0.5333333333333333,
82250337_0338,layout_aware,layout_aware,43,36,30,0.8333333333333334,0.7885416666666667,0,0.6666666666666666,0.8125,0.8750000000000001,0.8,
82251504,layout_aware,layout_aware,43,41,30,0.7317073170731707,0.6863553113553114,0,0.5,0.7428571428571429,0.7333333333333334,0.7692307692307692,
82092117,text_only,text_only,17,27,21,0.7777777777777778,0.705316742081448,0,0.5,1.0,0.7058823529411765,0.6153846153846154,
82200067_0069,text_only,text_only,17,59,50,0.847457627118644,0.6044657097288676,0,0.0,0.8421052631578948,0.909090909090909,0.6666666666666666,
82250337_0338,text_only,text_only,17,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,text_only,text_only,17,41,24,0.5853658536585366,0.5848214285714286,0,0.5,0.5625000000000001,0.5625,0.7142857142857143,
82092117,text_only,text_only,29,27,22,0.8148148148148148,0.7361111111111112,0,0.5,1.0,0.7777777777777778,0.6666666666666666,
82200067_0069,text_only,text_only,29,59,50,0.847457627118644,0.6044657097288676,0,0.0,0.8421052631578948,0.909090909090909,0.6666666666666666,
82250337_0338,text_only,text_only,29,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,text_only,text_only,29,41,24,0.5853658536585366,0.5848214285714286,0,0.5,0.5625000000000001,0.5625,0.7142857142857143,
82092117,text_only,text_only,43,27,21,0.7777777777777778,0.705316742081448,0,0.5,1.0,0.7058823529411765,0.6153846153846154,
82200067_0069,text_only,text_only,43,59,50,0.847457627118644,0.6044657097288676,0,0.0,0.8421052631578948,0.909090909090909,0.6666666666666666,
82250337_0338,text_only,text_only,43,36,31,0.8611111111111112,0.8450940860215054,0,0.6666666666666666,0.8387096774193549,0.8750000000000001,1.0,
82251504,text_only,text_only,43,41,26,0.6341463414634146,0.6153361344537815,0,0.5,0.6470588235294117,0.6,0.7142857142857143,
